2024-01-01 00:00:00 UTC,42208.202176186474,827596236151.1959,14183728910.169804
2024-01-02 00:00:00 UTC,44168.68118687473,863804922701.8125,16958999497.58364
2024-01-03 00:00:00 UTC,44994.67388689237,878395004792.8407,39089952715.542786
2024-01-04 00:00:00 UTC,42821.558989157995,838208392904.1771,43146162597.56747
2024-01-05 00:00:00 UTC,44195.57856209971,866352960236.8643,26123887042.79777
2024-01-06 00:00:00 UTC,44113.69973389081,863690851062.0247,29364675804.010384
2024-01-07 00:00:00 UTC,43956.12071720152,861211168830.4689,11841102132.239353
2024-01-08 00:00:00 UTC,43883.74387905174,856926317087.4954,15144653805.362787
2024-01-09 00:00:00 UTC,46936.185561217506,919666641903.4098,40821502383.50064
2024-01-10 00:00:00 UTC,46105.94607828697,902166917320.3264,39887918405.77868
2024-01-11 00:00:00 UTC,46632.31314804979,915259343942.0361,52030057180.57072
2024-01-12 00:00:00 UTC,46314.355541602694,909846384596.2129,49198128806.306175
2024-01-13 00:00:00 UTC,42893.92960550481,838383512176.7352,45913301456.05085
2024-01-14 00:00:00 UTC,42848.47451640749,839198740717.084,19424747840.478386
2024-01-15 00:00:00 UTC,41800.93282193406,822907066751.3778,16968959097.076523
2024-01-16 00:00:00 UTC,42587.336038354406,835225973285.8562,22634527323.56315
2024-01-17 00:00:00 UTC,43148.00164342693,845770850849.578,22023116042.275295
2024-01-18 00:00:00 UTC,42713.859186938986,836987995502.6503,21299064875.187115
2024-01-19 00:00:00 UTC,41261.39479801012,808845819110.2808,25160430945.289833
2024-01-20 00:00:00 UTC,41600.94093254464,815241536115.3193,24407872954.726807
2024-01-21 00:00:00 UTC,41626.10711003664,817217622403.9753,9533488489.00503
2024-01-22 00:00:00 UTC,41541.89945706261,814709364023.4832,8032696833.695371
2024-01-23 00:00:00 UTC,39504.73005758438,775020895102.2928,31202848830.101707
2024-01-24 00:00:00 UTC,39833.45410501688,779133357029.7626,29683327703.0343
2024-01-25 00:00:00 UTC,40123.67105847147,786928905377.1826,22217129215.385582
2024-01-26 00:00:00 UTC,39938.28644155878,783180536824.566,13376924612.77818
2024-01-27 00:00:00 UTC,41862.9356109399,820989861818.084,22681602408.52447
2024-01-28 00:00:00 UTC,42119.61049464309,826254540126.2368,10694258830.371908
2024-01-29 00:00:00 UTC,42026.57856232145,824240091063.3245,13669905344.783924
2024-01-30 00:00:00 UTC,43267.60927638767,849198976216.4734,20680322267.003654
2024-01-31 00:00:00 UTC,42892.03453014447,839294111912.5715,24526664209.358597
2024-02-01 00:00:00 UTC,42583.26354663417,835421372330.6442,22197944957.07849
2024-02-02 00:00:00 UTC,43069.043420936796,844585195327.6586,22443682768.722225
2024-02-03 00:00:00 UTC,43170.65856159975,846561992602.431,18624791426.130833
2024-02-04 00:00:00 UTC,42976.84829990829,842668526994.8004,7779819312.310763
2024-02-05 00:00:00 UTC,42599.35997055978,835416357159.2295,11250814654.362
2024-02-06 00:00:00 UTC,42648.45692113544,836630860392.2917,18682275991.626797
2024-02-07 00:00:00 UTC,43087.78740814285,845393687725.6221,17131113853.23615
2024-02-08 00:00:00 UTC,44247.415415479314,868672050077.7697,21200879624.73537
2024-02-09 00:00:00 UTC,45338.271189789484,890468166608.419,27709605138.49859
2024-02-10 00:00:00 UTC,47143.24299107112,925541926938.6151,41993952311.122856
2024-02-11 00:00:00 UTC,47768.995251247936,938210772985.4427,16461159742.317774
2024-02-12 00:00:00 UTC,48189.88179303987,945579645769.01,13196875460.84672
2024-02-13 00:00:00 UTC,50050.13609456397,981463410832.9637,37684440686.70893
2024-02-14 00:00:00 UTC,49732.14536955351,974585308372.1277,37331081151.024765
2024-02-15 00:00:00 UTC,51790.16929752642,1017596576729.7906,41805076939.80903
2024-02-16 00:00:00 UTC,51958.23029105492,1020725811639.5323,31991869491.056656
2024-02-17 00:00:00 UTC,52166.43430976192,1024019280535.48,24850432117.896576
2024-02-18 00:00:00 UTC,51684.51749264525,1015778284418.9253,19851884283.15723
